Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector,ROE_Adjusted,ROE_Flag,OCF_Category,Cash_Flow_Margin_Adj,JPMorgan_OCF_Note,Has_Financial_Data,Data_Period_Note,Revenue_YoY_Growth,Revenue_TTM,Net_Income_TTM,Operating_Cash_Flow_TTM,Profit_Margin_Clean,FHS_PM_Score,FHS_CFM_Score,ROE_for_FHS,FHS_V2
Amazon,1018724,10-Q,2025-10-31,2024-12-31,2024,4,,,,,,285970000000.0,,,,,,Technology,,,Operating,,,0,Q4 2024 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2021-07-28,2020-03-31,2020,1,,,,,,78425000000.0,,,,,,Technology,,,Operating,,,0,Q1 2020 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2022-07-29,2021-03-31,2021,1,,,,,,69178000000.0,,,,,,Technology,,,Operating,,,0,Q1 2021 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2023-08-04,2022-03-31,2022,1,,,,,,67399000000.0,,,,,,Technology,,,Operating,,,0,Q1 2022 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2024-08-02,2023-03-31,2023,1,,,,,,62158000000.0,,,,,,Technology,,,Operating,,,0,Q1 2023 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2025-08-01,2024-03-31,2024,1,,,,,,74194000000.0,,,,,,Technology,,,Operating,,,0,Q1 2024 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2025-08-01,2025-03-31,2025,1,,,,,,66796000000.0,,,,,,Technology,,,Operating,,,0,Q1 2025 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2021-07-28,2020-06-30,2020,2,209817000000.0,22680000000.0,51513000000.0,11253000000.0,60098000000.0,72282000000.0,5.363245113598993,10.809419637112342,24.551394786885712,15.568191250933843,28.64305561513128,Technology,15.568191250933843,,Operating,28.64305561513128,,1,Q2 2020,,,,,5.363245113598993,8.812596252886875,60.605548119854234,15.568191250933843,29.5
Apple,320193,10-Q,2022-07-29,2021-06-30,2021,2,282457000000.0,35255000000.0,85163000000.0,74129000000.0,83838000000.0,64280000000.0,26.24434869732384,12.481545863618178,30.150784013141823,115.32202862476665,29.681686061949254,Technology,28.83050715619166,TTM_Anomaly,Operating,29.681686061949254,,1,Q2 2021,34.62,492274000000.0,85382000000.0,143936000000.0,26.24434869732384,17.80218186729533,54.811938356534405,28.83050715619166,38.0
Apple,320193,10-Q,2023-08-04,2022-06-30,2022,2,82959000000.0,132687000000.0,23076000000.0,19442000000.0,98024000000.0,58107000000.0,23.43567304331055,159.94286334213285,27.81615014645789,33.45896363605073,118.15957280102218,Technology,33.45896363605073,,Operating,,,1,Q2 2022,-70.63,575233000000.0,104824000000.0,241960000000.0,23.43567304331055,32.746791778221514,0.0,33.45896363605073,29.8
